0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:59 -0300] "GET /Petshops/functions.js HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:22:59 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/cadastrarProduto.jsp HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/imagens/logo-pegasus.png HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/Js/functions.js HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:06 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:07 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:07 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:25:07 -0300] "GET /Petshops/favicon.ico.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/cadastrarProduto.jsp?categoria=Acessorio HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/img/icone.jfif HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/logo-pegasus.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:23 -0300] "GET /Petshops/Js/functions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:24 -0300] "GET /Petshops/elstiloCadastrar.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:24 -0300] "GET /Petshops/edit.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:27:24 -0300] "GET /Petshops/delete.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:36:34 -0300] "GET /Petshops/cadastrarProduto.jsp?categoria=Acessorio HTTP/1.1" 200 11009
0:0:0:0:0:0:0:1 - - [10/Jul/2019:10:36:34 -0300] "GET /Petshops/estilos.css HTTP/1.1" 404 1110
